AR, , , , ,형상제작(더미 포함),Cat.1, Cat.3 값 기반 보정 계산 산출(by Parameter),DYNAMO
가상 모델링 산출,카테고리 유무, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A01ZZ001,Earth Work,null,Excavation,M3,0,0,0,1,O,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00001,Structural Foundations>All element of Category,슬라브 형상,슬라브 오프셋 형상, ,00004,Structural Foundations>All element of Category,기초 하부면 외곽선 추출,1. 외곽선 오프셋 
  (최소폭 고려)
2. GL 레벨로 복사  
  (휴식각 고려)
3. Solid 작성,Solid의 부피산출, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,type 2, , 
A03AD041,Concrete Work,Superstructure Work,Expansion Joint (w/ Galvanized Steel Cover),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD042,Concrete Work,Superstructure Work,Expansion Joint (w/ Stainless Steel Cover),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD043,Concrete Work,Superstructure Work,Expansion Joint (w/ Ready-Made Cover),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD044,Concrete Work,Superstructure Work,Isolation Joint (Separation Joint),M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD045,Concrete Work,Superstructure Work,Control Joint,M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD051,Concrete Work,Superstructure Work,Groove Joint,M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD046,Concrete Work,Superstructure Work,Water Stop,M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD049,Concrete Work,Superstructure Work,Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Purchase & Installation),TON,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AD050,Concrete Work,Superstructure Work,Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Installation Only),TON,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF029,Concrete Work,Equipment Foundation Work,Anchor Bolt (Installation only),EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF030,Concrete Work,Equipment Foundation Work,Chemical Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF031,Concrete Work,Equipment Foundation Work,Expansion Anchor Bolt,EA,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF032,Concrete Work,Equipment Foundation Work,Structural Concrete,M3,0,0,0,1,O, ,Structural Foundations>All element of Category, , , ,00007,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF034,Concrete Work,Equipment Foundation Work,Lean Concrete (including Form work),M3,0,0,0,1,O, ,Structural Foundations>All element of Category, , , ,00004,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF035,Concrete Work,Equipment Foundation Work,Form Work (3 times in use),M2,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF036,Concrete Work,Equipment Foundation Work,Form Work (1 time in use),M2,0,0,0,1,O, ,Structural Foundations>All element of Category, , , ,00001,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF037,Concrete Work,Equipment Foundation Work,Rebar Work,TON,0,0,0,1,O, ,Structural Foundations>All element of Category, , , ,00002,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF046,Concrete Work,Equipment Foundation Work,Water Stop,M,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF049,Concrete Work,Equipment Foundation Work,Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Purchase & Installation),TON,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AF050,Concrete Work,Equipment Foundation Work,Embedded Steel(Steel Plate, Corner Angle and etc.) w/ Anchor Bar (Installation Only),TON,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AG029,Concrete Work,Mass Concrete Work,Anchor Bolt (Installation only),EA,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AG030,Concrete Work,Mass Concrete Work,Chemical Anchor Bolt,EA,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AG031,Concrete Work,Mass Concrete Work,Expansion Anchor Bolt,EA,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A03AG032,Concrete Work,Mass Concrete Work,Structural Concrete,M3,0,0,0,1,O, ,Structural Foundations>All element of Category, , , , ,Structural Foundations>All element of Category, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
